angle_class,FeatureIds
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
4,2
0,10
0,10
0,10
0,10
4,2
4,2
4,2
4,2
4,2
0,10
0,10
0,10
0,10
4,2
4,2
4,2
4,2
4,2
4,2
0,10
0,10
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
0,10
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,1
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
4,2
0,10
0,10
0,10
0,10
4,2
4,2
4,2
4,2
4,2
4,2
0,10
0,10
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
0,10
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,1
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
4,2
0,10
0,10
0,10
0,10
4,2
4,2
4,2
4,2
4,2
4,2
0,10
0,10
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
0,10
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,1
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
4,2
0,10
0,10
0,10
0,10
4,2
4,2
4,2
4,2
4,2
4,2
0,10
0,10
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
0,10
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,1
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
4,2
4,2
0,10
0,10
0,10
0,10
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
4,2
4,2
4,2
0,10
0,10
4,2
4,2
4,2
4,2
4,2
4,2
4,2
0,10
0,10
4,2
4,2
4,2
4,2
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,1
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
4,2
4,2
0,10
0,10
0,10
0,10
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
4,2
4,2
4,2
0,10
0,10
4,2
4,2
4,2
4,2
4,2
4,2
4,2
0,10
0,10
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
4,2
4,2
0,10
0,10
0,10
0,10
4,2
4,2
4,2
0,10
0,10
0,10
0,10
0,10
4,2
4,2
4,2
4,2
4,2
4,2
0,10
0,10
4,2
4,2
4,2
4,2
4,2
4,2
4,2
0,10
0,10
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
4,2
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
